AEBODSYS,AETERM,col1,param,value,col2,AETERM_ORD,AEBODSYS_ORD
APPLICATION SITE INDURATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,0,n_pct,7,7
APPLICATION SITE INDURATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0,n_pct,7,7
APPLICATION SITE INDURATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,0,n_aes,7,7
APPLICATION SITE IRRITATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,3,n_pct,7,8
APPLICATION SITE IRRITATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0.04347826086956521,n_pct,7,8
APPLICATION SITE IRRITATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,7,n_aes,7,8
APPLICATION SITE IRRITATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,9,n_pct,7,8
APPLICATION SITE IRRITATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.12857142857142856,n_pct,7,8
APPLICATION SITE IRRITATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,16,n_aes,7,8
APPLICATION SITE IRRITATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,9,n_pct,7,8
APPLICATION SITE IRRITATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0.10465116279069768,n_pct,7,8
APPLICATION SITE IRRITATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,18,n_aes,7,8
APPLICATION SITE PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,0,n_pct,7,9
APPLICATION SITE PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0,n_pct,7,9
APPLICATION SITE PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,0,n_aes,7,9
APPLICATION SITE PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,2,n_pct,7,9
APPLICATION SITE PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.02857142857142857,n_pct,7,9
APPLICATION SITE PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,2,n_aes,7,9
APPLICATION SITE PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,0,n_pct,7,9
APPLICATION SITE PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0,n_pct,7,9
APPLICATION SITE PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,0,n_aes,7,9
APPLICATION SITE PERSPIRATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,0,n_pct,7,10
APPLICATION SITE PERSPIRATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0,n_pct,7,10
APPLICATION SITE PERSPIRATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,0,n_aes,7,10
APPLICATION SITE PERSPIRATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,2,n_pct,7,10
APPLICATION SITE PERSPIRATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.02857142857142857,n_pct,7,10
APPLICATION SITE PERSPIRATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,3,n_aes,7,10
APPLICATION SITE PERSPIRATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,0,n_pct,7,10
APPLICATION SITE PERSPIRATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0,n_pct,7,10
APPLICATION SITE PERSPIRATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,0,n_aes,7,10
APPLICATION SITE PRURITUS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,6,n_pct,7,11
APPLICATION SITE PRURITUS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0.08695652173913043,n_pct,7,11
APPLICATION SITE PRURITUS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,10,n_aes,7,11
APPLICATION SITE PRURITUS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,21,n_pct,7,11
APPLICATION SITE PRURITUS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.3,n_pct,7,11
APPLICATION SITE PRURITUS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,34,n_aes,7,11
APPLICATION SITE PRURITUS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,23,n_pct,7,11
APPLICATION SITE PRURITUS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0.26744186046511625,n_pct,7,11
APPLICATION SITE PRURITUS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,34,n_aes,7,11
APPLICATION SITE REACTION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,1,n_pct,7,12
APPLICATION SITE REACTION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0.0144927536231884,n_pct,7,12
APPLICATION SITE REACTION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,2,n_aes,7,12
APPLICATION SITE REACTION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,1,n_pct,7,12
APPLICATION SITE REACTION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.01428571428571428,n_pct,7,12
APPLICATION SITE REACTION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,1,n_aes,7,12
APPLICATION SITE REACTION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,0,n_pct,7,12
APPLICATION SITE REACTION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0,n_pct,7,12
APPLICATION SITE REACTION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,0,n_aes,7,12
APPLICATION SITE SWELLING,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,0,n_pct,7,13
APPLICATION SITE SWELLING,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0,n_pct,7,13
APPLICATION SITE SWELLING,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,0,n_aes,7,13
APPLICATION SITE SWELLING,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,2,n_pct,7,13
APPLICATION SITE SWELLING,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.02857142857142857,n_pct,7,13
APPLICATION SITE SWELLING,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,3,n_aes,7,13
APPLICATION SITE SWELLING,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,1,n_pct,7,13
APPLICATION SITE SWELLING,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,7,13
APPLICATION SITE SWELLING,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,1,n_aes,7,13
APPLICATION SITE URTICARIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,0,n_pct,7,14
APPLICATION SITE URTICARIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0,n_pct,7,14
APPLICATION SITE URTICARIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,0,n_aes,7,14
APPLICATION SITE URTICARIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,1,n_pct,7,14
APPLICATION SITE URTICARIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.01428571428571428,n_pct,7,14
APPLICATION SITE URTICARIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,1,n_aes,7,14
APPLICATION SITE URTICARIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,2,n_pct,7,14
APPLICATION SITE URTICARIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0.02325581395348837,n_pct,7,14
APPLICATION SITE URTICARIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,2,n_aes,7,14
APPLICATION SITE VESICLES,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,1,n_pct,7,15
APPLICATION SITE VESICLES,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0.0144927536231884,n_pct,7,15
APPLICATION SITE VESICLES,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,2,n_aes,7,15
APPLICATION SITE VESICLES,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,5,n_pct,7,15
APPLICATION SITE VESICLES,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.07142857142857142,n_pct,7,15
APPLICATION SITE VESICLES,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,5,n_aes,7,15
APPLICATION SITE VESICLES,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,5,n_pct,7,15
APPLICATION SITE VESICLES,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0.05813953488372093,n_pct,7,15
APPLICATION SITE VESICLES,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,6,n_aes,7,15
APPLICATION SITE WARMTH,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,0,n_pct,7,16
APPLICATION SITE WARMTH,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0,n_pct,7,16
APPLICATION SITE WARMTH,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,0,n_aes,7,16
APPLICATION SITE WARMTH,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,0,n_pct,7,16
APPLICATION SITE WARMTH,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0,n_pct,7,16
APPLICATION SITE WARMTH,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,0,n_aes,7,16
APPLICATION SITE WARMTH,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,1,n_pct,7,16
APPLICATION SITE WARMTH,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,7,16
APPLICATION SITE WARMTH,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,2,n_aes,7,16
ASTHENIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,1,n_pct,7,17
ASTHENIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0.0144927536231884,n_pct,7,17
ASTHENIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,2,n_aes,7,17
ASTHENIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,0,n_pct,7,17
ASTHENIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0,n_pct,7,17
ASTHENIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,0,n_aes,7,17
ASTHENIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,1,n_pct,7,17
ASTHENIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,7,17
ASTHENIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,1,n_aes,7,17
CHEST DISCOMFORT,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,0,n_pct,7,18
CHEST DISCOMFORT,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0,n_pct,7,18
CHEST DISCOMFORT,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,0,n_aes,7,18
CHEST DISCOMFORT,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,1,n_pct,7,18
CHEST DISCOMFORT,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.01428571428571428,n_pct,7,18
CHEST DISCOMFORT,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,1,n_aes,7,18
CHEST DISCOMFORT,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,1,n_pct,7,18
CHEST DISCOMFORT,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,7,18
CHEST DISCOMFORT,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,1,n_aes,7,18
CHEST PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,0,n_pct,7,19
CHEST PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0,n_pct,7,19
CHEST PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,0,n_aes,7,19
CHEST PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,2,n_pct,7,19
CHEST PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.02857142857142857,n_pct,7,19
CHEST PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,2,n_aes,7,19
CHEST PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,0,n_pct,7,19
CHEST PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0,n_pct,7,19
CHEST PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,0,n_aes,7,19
CHILLS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,1,n_pct,7,20
CHILLS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0.0144927536231884,n_pct,7,20
CHILLS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,3,n_aes,7,20
CHILLS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,1,n_pct,7,20
CHILLS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.01428571428571428,n_pct,7,20
CHILLS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,1,n_aes,7,20
CHILLS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,1,n_pct,7,20
CHILLS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,7,20
CHILLS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,2,n_aes,7,20
CYST,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,0,n_pct,7,21
CYST,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0,n_pct,7,21
CYST,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,0,n_aes,7,21
CYST,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,0,n_pct,7,21
CYST,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0,n_pct,7,21
CYST,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,0,n_aes,7,21
CYST,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,1,n_pct,7,21
CYST,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,7,21
CYST,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,1,n_aes,7,21
FATIGUE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,1,n_pct,7,22
FATIGUE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0.0144927536231884,n_pct,7,22
FATIGUE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,2,n_aes,7,22
FATIGUE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,5,n_pct,7,22
FATIGUE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.07142857142857142,n_pct,7,22
FATIGUE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,5,n_aes,7,22
FATIGUE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,5,n_pct,7,22
FATIGUE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0.05813953488372093,n_pct,7,22
FATIGUE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,5,n_aes,7,22
FEELING ABNORMAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,0,n_pct,7,23
FEELING ABNORMAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0,n_pct,7,23
FEELING ABNORMAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,0,n_aes,7,23
FEELING ABNORMAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,1,n_pct,7,23
FEELING ABNORMAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.01428571428571428,n_pct,7,23
FEELING ABNORMAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,1,n_aes,7,23
FEELING ABNORMAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,0,n_pct,7,23
FEELING ABNORMAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0,n_pct,7,23
FEELING ABNORMAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,0,n_aes,7,23
FEELING COLD,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,0,n_pct,7,24
FEELING COLD,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0,n_pct,7,24
FEELING COLD,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,0,n_aes,7,24
FEELING COLD,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,1,n_pct,7,24
FEELING COLD,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.01428571428571428,n_pct,7,24
FEELING COLD,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,1,n_aes,7,24
FEELING COLD,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,0,n_pct,7,24
FEELING COLD,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0,n_pct,7,24
FEELING COLD,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,0,n_aes,7,24
INFLAMMATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,0,n_pct,7,26
INFLAMMATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0,n_pct,7,26
INFLAMMATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,0,n_aes,7,26
INFLAMMATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,0,n_pct,7,26
INFLAMMATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0,n_pct,7,26
INFLAMMATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,0,n_aes,7,26
INFLAMMATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,1,n_pct,7,26
INFLAMMATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,7,26
INFLAMMATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,1,n_aes,7,26
MALAISE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,0,n_pct,7,27
MALAISE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0,n_pct,7,27
MALAISE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,0,n_aes,7,27
MALAISE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,2,n_pct,7,27
MALAISE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.02857142857142857,n_pct,7,27
MALAISE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,3,n_aes,7,27
MALAISE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,1,n_pct,7,27
MALAISE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,7,27
MALAISE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,2,n_aes,7,27
OEDEMA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,0,n_pct,7,28
OEDEMA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0,n_pct,7,28
OEDEMA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,0,n_aes,7,28
OEDEMA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,0,n_pct,7,28
OEDEMA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0,n_pct,7,28
OEDEMA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,0,n_aes,7,28
OEDEMA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,2,n_pct,7,28
OEDEMA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0.02325581395348837,n_pct,7,28
OEDEMA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,2,n_aes,7,28
OEDEMA PERIPHERAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,2,n_pct,7,29
OEDEMA PERIPHERAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0.02898550724637681,n_pct,7,29
OEDEMA PERIPHERAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,5,n_aes,7,29
OEDEMA PERIPHERAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,2,n_pct,7,29
OEDEMA PERIPHERAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_pct,0.02857142857142857,n_pct,7,29
OEDEMA PERIPHERAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,n,3,n_aes,7,29
OEDEMA PERIPHERAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_n,1,n_pct,7,29
OEDEMA PERIPHERAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,distinct_pct,0.01162790697674418,n_pct,7,29
OEDEMA PERIPHERAL,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline Low Dose,n,1,n_aes,7,29
PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_n,0,n_pct,7,30
PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,distinct_pct,0,n_pct,7,30
PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Placebo,n,0,n_aes,7,30
PAIN,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,Xanomeline High Dose,distinct_n,1,n_pct,7,30
